name,score,followers,genre,youtube_subscribers,youtube_views,headliner,headliner_2,popularity_score
Anti-Flag,48,460157,"punk, skate punk, ska punk, hardcore punk",2230,14142606,0,0,53.39
Any Given Day,46,138157,"metalcore, metal, djent",118000,48686863,0,0,61.0
Arson,8,2111,"rock 'n roll, punk, hardcore",20000,36707270,0,0,27.700000000000003
Attila,52,520596,"deathcore, metalcore, rap metal, metal, screamo",313000,131444528,0,0,72.50999999999999
Billy Talent,65,1360443,punk,3180,174159653,0,1,69.89
Black Flag,49,724825,"punk, hardcore punk, skate punk, hardcore, proto-punk",58000,36301679,0,0,65.53
C4,27,5848,"hardcore, hardcore punk",1400000,163725789,0,0,51.910000000000004
Cancer Bats,38,102663,"hardcore punk, hardcore",16100,5783818,0,0,47.33
CANDY,28,41210,"hardcore, hardcore punk, mathcore, grindcore",5140,3527594,0,0,36.61
Captain Kaiser,16,2291,"punk, rock, indie, pop",482,127173,0,0,8.66
Carpenter Brut,57,482591,"synthwave, darkwave",334000,231873524,0,0,75.47
Casey,39,65649,"melodic hardcore, post-hardcore, metalcore",12700000,3246227301,0,0,77.02
Chaser,27,10835,"skate punk, melodic hardcore, punk, ska punk",143000,36889188,0,0,45.07
Chelsea Grin,51,573638,"deathcore, metalcore, death metal, metal, djent",237000,93114688,0,0,71.03
Code Orange,40,223972,"mathcore, hardcore, metalcore, hardcore punk",85300,27499728,0,0,58.48
De Hardheid,27,4487,"ska punk, ska, nederpop",269,158346,0,0,14.01
Defeater,36,119051,"melodic hardcore, post-hardcore, hardcore, hardcore punk, screamo",679,1855674,0,0,36.76
Distant,42,109769,"deathcore, death metal, metalcore",2010,6554451,0,0,44.16
Dreamshade,30,36630,"melodic death metal, metalcore",559,1258987,0,0,29.09
Employed To Serve,29,48290,"mathcore, metalcore",2670,442526,0,0,31.15
END,32,74705,"mathcore, deathcore, metalcore, hardcore",134000,141484111,0,0,56.63
Enter Shikari,61,512281,"post-hardcore, metalcore",265000,200114099,0,0,76.19
FEVER 333,52,293524,"rap metal, rap rock",108000,42504672,0,1,65.27
Flogging Molly,56,731653,"celtic punk, celtic rock, celtic, folk punk, punk",96400,10940757,1,0,66.53
Frank Turner,53,391520,folk punk,117000,75171395,0,0,68.15
GHØSTKID,39,89417,"metalcore, deathstep",15000,5573309,0,0,46.93
Gogol Bordello,48,403253,folk punk,106000,35083339,0,1,64.5
H2O,38,107615,"hardcore punk, hardcore, melodic hardcore, skate punk, punk, ska punk",2730000,1293746835,0,0,72.53
Hatebreed,56,730072,"hardcore, metalcore, groove metal, metal, hardcore punk",3160,65981155,0,0,62.25000000000001
Heideroosjes,31,19327,"skate punk, nederpop, punk",2360,1407117,0,0,30.959999999999997
Hollywood Undead,68,2551822,"rap rock, rap metal",1870000,1277094458,0,1,93.43
Kublai Khan TX,60,440199,"hardcore, deathcore, metalcore, metal",38900,27352001,0,0,66.02
LANDMVRKS,58,363010,"metalcore, deathcore, metal",63900,24248745,0,0,65.57
Lionheart,45,122864,"hardcore, hardcore punk, metalcore",11700,6851037,0,0,50.05
Loathe,61,573458,shoegaze,43200,25606930,0,0,67.42
Lorna Shore,61,970716,"deathcore, death metal, metal, metalcore",369000,124793376,0,1,78.19
Malevolence,48,135962,"metalcore, groove metal, deathcore, hardcore",37800,13015181,0,0,55.82
March,18,5457,"skate punk, melodic hardcore, punk",558000,115131141,0,0,45.410000000000004
Meshuggah,55,862251,"djent, progressive metal, groove metal, metal, death metal, mathcore",4800,56742651,0,1,63.17
Motionless In White,73,2180807,"metalcore, metal",1300000,937606176,0,0,93.04
No Pressure,51,87214,"pop punk, skate punk",267,4756105,0,0,40.839999999999996
Pain of Truth,39,58917,"hardcore, hardcore punk",3710,1729829,0,0,39.33
Paledusk,51,101430,"j-rock, mathcore, anime",724,8948334,0,0,45.269999999999996
Papa Roach,74,6467833,"nu metal, rap metal, alternative metal, rap rock, rock",2070000,1886372609,0,1,100.0
Parkway Drive,63,1318901,"metalcore, metal, deathcore",288000,200527674,1,0,80.47
Polaris,59,422271,"metalcore, djent, metal, deathcore",334000,432935618,0,0,77.14
Punk Rock Factory,43,163769,punk rock,124000,22951042,0,0,58.940000000000005
PUP,50,289232,"midwest emo, indie punk, emo, punk",476,8739112,0,0,47.55
Rancid,59,997880,"punk, ska punk, ska, skate punk, hardcore punk",226000,160415391,1,0,76.96
Random Hand,28,18359,"ska punk, ska, punk",6270000,1389974945,0,0,64.92
Restraining Order,24,20701,"hardcore punk, hardcore",519,172001,0,0,20.18
Rise Of The Northstar,45,158977,"hardcore, rap metal, metalcore",108000,38748329,0,0,60.4
Sick Of It All,39,190391,"hardcore, hardcore punk, punk, skate punk",1400,4963286,0,0,43.53
Sleep Token,79,3192867,"progressive metal, metalcore",1230000,902992149,0,0,96.28999999999999
Speed,45,112995,"hardcore, hardcore punk",52700000,7905018914,0,0,86.61
Static Dress,47,100838,"shoegaze, post-hardcore, metalcore",22000,5375936,0,0,51.05
Stray From The Path,43,153815,"metalcore, hardcore, melodic hardcore, hardcore punk, mathcore",1870,1184760,0,0,41.61
Sunami,48,195093,"hardcore, hardcore punk",9110,11643403,0,0,53.349999999999994
The Amity Affliction,62,822423,"metalcore, post-hardcore, screamo",437000,298393025,0,1,80.36999999999999
The Bennies,27,25085,ska punk,3490,1308551,0,0,31.269999999999996
The Flatliners,44,89353,"punk, ska punk, skate punk, melodic hardcore, ska",1070,2675114,0,0,40.53
The Ghost Inside,53,409684,"metalcore, melodic hardcore, hardcore, deathcore, post-hardcore, metal",1340,24176027,0,1,54.730000000000004
The Interrupters,54,414960,"ska punk, ska, punk, skate punk",135000,65372053,0,0,68.74
The Menzingers,51,196523,"indie punk, punk, pop punk, skate punk",16100,16409768,0,0,56.63
The Sleeping Souls,4,2453,"folk, folk punk, folk rock, post-hardcore, punk rock, alternative rock",383,21346,0,0,0.0
Touché Amoré,47,200198,"melodic hardcore, post-hardcore, screamo, hardcore",14400,5295518,0,0,52.410000000000004
Trash Boat,41,129870,"pop punk, emo, queercore",9420,4116296,0,0,47.13
UnityTX,41,76213,"rap metal, trap metal",4650,1480717,0,0,41.15
