name,score,followers,genre,youtube_subscribers,youtube_views,headliner,headliner_2,popularity_score
Get The Shot,41,75301,"hardcore, hardcore punk, deathcore, metalcore",11300,5387633,0,1,60.94
Have Mercy,39,86946,"midwest emo, pop punk",3400,2475374,0,0,57.32
The Ataris,50,297399,"pop punk, skate punk, punk",46000,58569272,0,0,72.26
Bad Nerves,44,93863,"egg punk, garage rock",14700,4002543,0,0,62.48
Madball,44,196720,"hardcore, hardcore punk",1230,8013630,0,0,60.39
The Viper,45,30459,"gabber, hardcore, hardstyle, frenchcore, happy hardcore, hardcore techno",286000,158806942,0,0,71.02
Dog Eat Dog,37,71510,"rap metal, rap rock, skate punk",1450,866839,0,0,53.36
Trash Boat,40,129755,"pop punk, emo, queercore",6590,1297544,0,0,58.65
Kanonenfieber,52,152084,"black metal, death metal, metal",64100,19870643,0,0,70.98
TDC INC.,0,79,industrial,542000,74197637,0,0,44.26
Leblanc,57,67645,"rap, punk , electronic",381,28358,0,0,53.79
Suicidal Tendencies,54,867976,"thrash metal, hardcore punk, punk, skate punk, speed metal",263000,158950609,0,0,79.92
Ice Nine Kills,67,1271034,"metalcore, metal",520000,297513576,0,1,87.42
Desolated,32,42405,"hardcore, deathcore, hardcore punk",934,709782,0,0,49.59
Catch Your Breath,62,290913,metalcore,60400,11486198,0,0,74.95
Destroy Boys,57,606081,"riot grrrl, queercore",131000,44834388,0,0,77.52
End It,39,57216,"hardcore, hardcore punk",4200,54680,0,0,51.84
Gridiron,34,27176,"hardcore, hardcore punk, rap metal",691,392297,0,0,48.25
Ignite,39,100303,"melodic hardcore, skate punk, hardcore punk, punk, hardcore",218,3900752,0,0,53.44
Distant,42,109493,"deathcore, death metal, metalcore",2010,6505155,0,0,59.22
Kleine Crack,22,2702,rap ,224,95942,0,0,36.03
Combust,31,17419,"hardcore, hardcore punk",337,78548,0,0,42.98
Free Throw,55,166721,"midwest emo, math rock, emo, pop punk",7960,9654232,0,0,67.67
Ways Away,30,13583,melodic hardcore,399,150293,0,0,43.35
Allt,42,61286,"djent, metalcore, deathcore, progressive metal",815,2266939,0,0,55.26
Mouth Culture,37,18922,rock,2460,316655,0,0,50.66
The Flatliners,44,89183,"punk, ska punk, skate punk, melodic hardcore, ska",1070,2626604,0,0,57.31
Harms Way,43,95097,"hardcore, hardcore punk, metalcore, mathcore",6450,2796268,0,0,60.23
Trash Talk,28,61318,"hardcore, hardcore punk",216000,159518613,0,1,65.41
Curselifter,4,526,"hardcore punk, hardcore",17,1241,0,0,16.35
Alkaline Trio,57,442028,"pop punk, punk, emo, skate punk",2120,43906825,0,0,69.83
La Dispute,56,497560,"post-hardcore, midwest emo, spoken word, melodic hardcore, screamo, emo",71700,16946921,0,0,74.46
Ho99o9,40,144738,"experimental hip hop, trap metal, horrorcore, industrial rock, industrial, industrial metal",712,5337511,0,0,56.9
We Came As Romans,61,974375,"metalcore, post-hardcore, screamo, metal",6390,69096289,0,0,75.18
Fresku,48,87479,nederpop,6670,7099800,0,0,63.26
Haywire,22,8019,"hardcore, hardcore punk",296000,19122702,0,0,57.41
Papa Roach,74,6448791,"nu metal, rap metal, alternative metal, rap rock, rock",2070000,1874352283,1,0,97.65
Melrose Avenue,48,117275,Pop-metal,44200,7601520,0,0,67.11
Dying Wish,46,120863,"metalcore, deathcore, hardcore",8800,3161678,0,0,62.45
KABOUTERTJE PUTLUCHT,27,3513,nederpop,122,31481,0,0,35.79
Trivium,62,1754088,"metalcore, metal, heavy metal",7970,207345498,0,1,78.41
CLITTEBAND,22,2336,riot grrrl,349,297780,0,0,38.07
All Time Low,70,3212980,"pop punk, emo, punk",692000,496496680,0,1,91.3
TX2,60,489356,emo,1130000,716690561,0,0,85.72
Ron van Zalmsaus,25,5643,nederpop,4070000,931022948,0,0,67.68
Youth Code,28,40114,"industrial, ebm, industrial rock, industrial metal, darkwave",1680,642398,0,0,48.88
The Offspring,78,7068081,"punk, skate punk",2410000,2613760574,1,0,100
Viagra Boys,59,479390,"post-punk, egg punk",1740,31834228,0,0,69.94
Annisokay,52,186786,"metalcore, post-hardcore, metal",91300,42924874,0,0,72.97
Chuck Ragan,38,90883,"folk punk, alt country, americana",3890,1653617,0,0,56.71
Talco,43,109032,"ska punk, ska",447,3812907,0,0,56.27
Boundaries,50,105167,"metalcore, deathcore, hardcore",9100,7982870,0,0,65.01
Imminence,58,433426,"metalcore, metal",277000,122786348,0,0,79.97
Magnolia Park,61,448413,pop punk,116000,66498866,0,0,78.81
Alexisonfire,56,483312,"post-hardcore, screamo, emo, metalcore",2670,27525340,0,0,69.38
Nevertel,59,180064,metalcore,62500,30280510,0,0,74.39
Quicksand,37,101547,"post-hardcore, noise rock, alternative metal",3140,1784335,0,0,56.26
WARGASM (UK),48,148873,electronic rock,61400,16123317,0,0,69.1
Turbonegro,44,169799,"norsk rock, punk, skate punk",972,9887378,0,0,60.02
Even If We Lose,4,178,"sludge metal, doom metal, post-rock",135,6676,0,0,20.27
DeathbyRomy,53,182037," Alternative pop, Metal, dark pop, alternative R&B, trap, rock",178000,77531444,0,0,75.25
Converge,52,252167,"mathcore, metalcore, hardcore, hardcore punk, grindcore, post-hardcore, sludge metal",27700,7905572,0,1,69.15
Set It Off,65,1174503,rock,696000,452968850,0,0,87.61
Belvedere,30,33973,"skate punk, melodic hardcore, punk, hardcore punk, ska punk",4880,1873715,0,0,52.63
Heriot,35,35213,mathcore,1770,329446,0,0,50.45
Static-X,60,1686829,"industrial metal, nu metal, industrial rock, industrial, rap metal, metal, alternative metal",5400,190629743,0,0,76.82
Periphery,54,555472,"djent, progressive metal, metalcore, metal, mathcore",255000,77894099,0,0,78.15
Whispers,30,22422,"hardcore, hardcore punk, metalcore",117000,16611060,0,0,60.34
Pennywise,56,836589,"punk, skate punk, ska punk, melodic hardcore, hardcore punk, ska",10300,10084205,0,0,71.29
The Menzingers,51,196123,"indie punk, punk, pop punk, skate punk",16100,16241737,0,0,68.38
Fiddlehead,42,71359,"post-hardcore, melodic hardcore, midwest emo",416,94459,0,0,50.08
Rise Against,71,3009620,"punk, hardcore punk",12400,470045719,0,1,84.54
Our Mirage,48,99937,"metalcore, post-hardcore",23900,9244768,0,0,66.04
A Day To Remember,71,2586194,"metalcore, post-hardcore, pop punk, screamo, emo",18900,324978400,0,1,84.51
The Baboon Show,42,56923,punk,11900,4103806,0,0,60.56
Hollywood Undead,68,2548628,"rap rock, rap metal",1870000,1277094458,0,0,93.15
Code: Pandorum,39,58226,"deathstep, dubstep, riddim, bass music",39300,13580026,0,0,63.15
Jaya The Cat,41,61015,"ska punk, ska, reggae rock",224,3986803,0,0,53.41
Basement,61,516081,"midwest emo, shoegaze",1310000,199016521,0,1,84.71
Malevolence,48,135171,"metalcore, groove metal, deathcore, hardcore",957,5773181,0,1,60.37
Bob Vylan,46,186330,"punk, rap",62600,8834926,0,1,67.96
Architects,67,1320924,"metalcore, djent, metal, mathcore, post-hardcore, deathcore",375000,234597096,1,0,86.6
Speedway,19,5621,"hardcore, hardcore punk, melodic hardcore",938,640811,0,0,41.19
thrown,52,220069,"metalcore, deathcore",12800,7520448,0,0,67.52
ELLE RICH,12,1435,"deathstep, dubstep, riddim",229,7102,0,0,27.77
Parrish Smith,10,4314,ebm,1540,115971,0,0,35.95
Lola Doppelspitze,0,8,,2,33,0,0,0
Rain City Drive,58,371607,"post-hardcore, metalcore",40300,88869060,0,0,75.94
King 810,46,137643,nu metal,149000,78663893,0,0,71.88
Ray Fuego,39,16312,"rap, punk",501,305505,0,0,48.35
Andy & the Antichrist,4,498,"garage rock, punk rock",64,9622,0,0,21.23
Decapitated,45,282555,"death metal, metal, groove metal, grindcore, deathcore",1750,15268893,0,0,62.86
Hatebreed,55,729009,"hardcore, metalcore, groove metal, metal, hardcore punk",3160,65599711,0,1,71.17
Sugar Spine,25,8819,"deathcore, metalcore",1220,243014,0,0,43.33
Bury Tomorrow,52,349876,"metalcore, metal, deathcore",106000,68579513,0,0,74.93
