name,score,followers,genre,youtube_subscribers,youtube_views,headliner,headliner_2,popularity_score
JIVEBOMB,24,19813,"hardcore punk, hardcore",554,1088,0,0,23.89
King Prawn,24,12856,"ska punk, ska",27,1460,0,0,18.360000000000003
Knosis,34,42056,"metalcore, deathcore",4940,977995,0,0,45.97
Lionheart,45,122815,"hardcore, hardcore punk, metalcore",489000,270621487,0,1,71.39
Madball,44,197004,"hardcore, hardcore punk",1230,8061881,0,0,56.769999999999996
Make Them Suffer,55,372158,"metalcore, deathcore, djent, metal",3360,34718476,0,0,68.28999999999999
MakeWar,24,12290,"skate punk, punk",679,135891,0,0,30.869999999999997
Me First and the Gimme Gimmes,51,368881,"ska punk, punk, skate punk, ska",38600,4500300,0,1,66.73
Mindforce,40,56856,"hardcore, hardcore punk, thrash metal",4260,2181667,0,0,51.019999999999996
Mindwar,8,3654,"hardcore, hardcore punk",219,60237,0,0,16.0
Movements,58,350872,"midwest emo, pop punk, emo, post-hardcore",60500,43998723,0,0,74.71
Neck Deep,64,1823914,"pop punk, punk, emo",359000,266299352,0,0,88.32
Nephylim,21,5020,"melodic death metal, death metal",1320,256109,0,0,28.910000000000004
No Way,1,543,"hardcore punk, hardcore",129000,40407655,0,0,28.03
Of Mice & Men,59,1383786,"metalcore, post-hardcore, screamo, metal",171000,96088025,0,1,82.07
Orgel Joke,18,712,organ music,808,103627,0,0,19.56
Ploegendienst,34,10405,nederpop,235,75164,0,0,32.89
Psychonaut,33,31284,"progressive metal, sludge metal, post-rock, stoner metal",3960,1085593,0,0,44.440000000000005
Ronker,23,3816,noise rock,155,22549,0,0,21.709999999999997
Scowl,43,121101,"riot grrrl, hardcore punk, hardcore",3650,1155369,0,0,53.400000000000006
Secondhand Saints,7,2238,metalcore,637,57637,0,0,15.740000000000002
Shadow of Intent,52,275748,"deathcore, death metal, metal, metalcore",5810,38672465,0,0,66.95
Show Me the Body,54,154521,noise rock,167,11960259,0,0,58.709999999999994
Silverstein,61,870920,"post-hardcore, screamo, emo, metalcore, pop punk",196000,135964342,0,0,82.59
Simple Plan,70,4071395,"pop punk, punk, emo",1960000,1829929931,0,1,99.61
Slapshot,28,43966,"hardcore punk, hardcore, punk",45800,16899428,0,0,51.29
SNUFF,0,75,punk rock,10000,1543143,0,0,12.44
Spanish Love Songs,42,77926,"midwest emo, indie punk, pop punk",5480,2286888,0,0,53.43
Suicidal Tendencies,54,869680,"thrash metal, hardcore punk, punk, skate punk, speed metal",263000,159810232,0,1,79.7
Sum 41,72,4501657,"pop punk, punk, skate punk",1350000,1501185456,0,1,100.0
Talco,43,109130,"ska punk, ska",40300,27896232,0,0,62.25000000000001
Temptations for the Weak,20,1709,"thrash metal, metalcore",446,112886,0,0,22.25
TesseracT,46,354865,"djent, progressive metal, progressive rock, metal",112000,40297951,0,1,69.38
The Acacia Strain,48,229597,"deathcore, metalcore, death metal, djent, metal, hardcore",5020,11566860,0,0,62.129999999999995
The Black Dahlia Murder,49,391690,"melodic death metal, death metal, deathcore, metal",2720,36012226,0,0,65.05
The Broken Horizon,4,2229,"metalcore, deathcore",1010,236432,0,0,17.25
The Chisel,27,27810,"hardcore punk, punk, hardcore",1710,285577,0,0,37.44
The Locos,36,68248,"ska, ska punk, mexican ska",26300,7317371,0,0,54.39000000000001
The Prodigy,68,2983282,"big beat, breakbeat",1530000,1307214965,1,0,96.74000000000001
The Rumjacks,47,191885,"celtic punk, celtic rock, celtic, folk punk, sea shanties, folk rock",641,27161934,0,0,59.209999999999994
The Sha-La-Lee's,5,924,garage rock,18,4292,0,0,2.26
The Young Ones,14,3401,hardcore punk,0,124,0,0,0.0
thrown,53,221191,"metalcore, deathcore",13000,7680477,0,0,65.46
Thursday,48,252186,"post-hardcore, screamo, emo",5110,9118307,0,0,62.029999999999994
Thy Art Is Murder,50,531327,"deathcore, death metal, metal, metalcore, djent",2030,26898041,0,1,65.47
Tusky,14,6842,skate punk,616000,399516687,0,0,48.209999999999994
WARGASM (UK),49,149174,electronic rock,61500,16204913,0,0,66.01
While She Sleeps,53,521292,"metalcore, metal, post-hardcore",312000,154436855,0,1,77.96
Zulu,27,70160,"hardcore, hardcore punk",9050,796669,0,0,44.42
