name,score,followers,genre,youtube_subscribers,youtube_views,headliner,headliner_2,popularity_score
Alpha Wolf,49,216316,"metalcore, deathcore, djent",2960,224157,0,0,55.089999999999996
Amenra,39,140164,"sludge metal, drone metal, doom metal, post-rock, stoner metal",10200,3340490,0,0,55.16
Andy & the Antichrist,5,500,"garage rock, punk rock",64,9637,0,0,3.85
Annisokay,52,187074,"metalcore, post-hardcore, metal",91400,43344676,0,0,70.47
Another Now,16,8345,"metalcore, djent, deathcore",2980,783477,0,0,30.91
Architects,67,1324013,"metalcore, djent, metal, mathcore, post-hardcore, deathcore",375000,236092941,1,0,88.84
As Everything Unfolds,43,70153,metalcore,13300,4876022,0,0,56.330000000000005
Atreyu,59,1061167,"metalcore, screamo",237000,181572969,0,0,82.89999999999999
Authority Zero,46,117409,"skate punk, ska punk, punk, ska, melodic hardcore",2610,8367574,0,0,57.60999999999999
Bad Religion,61,1417371,"punk, skate punk, hardcore punk, melodic hardcore, ska punk",10800,110018663,0,1,78.96
Bane,33,64935,"hardcore, hardcore punk, melodic hardcore",3340,1035314,0,1,46.14
Better Lovers,35,74758,"mathcore, metalcore",6170,1759180,0,0,49.44
Biohazard,43,229738,"rap metal, hardcore, groove metal, hardcore punk, rap rock, alternative metal",1890,972200,0,1,53.87
Bleed From Within,52,277835,"metalcore, deathcore, metal",72500,28663295,0,0,70.53
Bob Vylan,46,186513,"punk, rap",62600,8928700,0,0,64.13
Body Count,46,339933,"rap metal, rap rock",31800,22340678,0,1,66.25999999999999
Bongloard,18,3231,"garagepunk, noisepunk, garagerock, grunge, postpunk",492,106413,0,0,23.07
Boston Manor,50,188225,pop punk,14600,5126127,0,0,62.970000000000006
Brand of Sacrifice,45,223984,"deathcore, metalcore, death metal, metal",2390,9741946,0,0,59.03
Brutus,40,129961,"post-hardcore, post-metal, post-rock",145000,42212235,0,0,63.93
Burnout Boys,0,87,rock,115000,90124406,0,0,23.52
Bury Tomorrow,52,350276,"metalcore, metal, deathcore, post-hardcore",106000,68579513,0,1,73.24000000000001
Campus,4,847,melodic hardcore,67900,697422,0,0,23.080000000000002
Comeback Kid,45,200202,"hardcore, melodic hardcore, hardcore punk, metalcore",1760,7166652,0,0,57.709999999999994
Conservative Military Image,36,19185,"hardcore punk, hardcore",3100,1628384,0,0,44.89
Counterparts,50,250108,"melodic hardcore, metalcore, hardcore, post-hardcore, hardcore punk, deathcore",13000,5351849,0,0,63.660000000000004
Dead by April,51,426925,metalcore,8820,56928756,0,0,68.97999999999999
Death Before Dishonor,30,53323,"hardcore, hardcore punk",2390,699935,0,0,42.85
Death Lens,35,31182,"garage rock, surf rock, egg punk",2040,624954,0,0,43.480000000000004
Deez Nuts,36,114978,"hardcore, hardcore punk, rap metal, metalcore, melodic hardcore",20200,4798195,0,0,54.74
Delinquent Habits,56,299963,"latin hip hop, mexican hip hop",1620,102263646,0,0,68.82000000000001
Dropkick Murphys,63,1394100,"celtic punk, celtic rock, celtic, punk, folk punk",590000,407026391,1,0,88.53999999999999
Dropout Kings,44,91088,"rap metal, trap metal, rap rock, nu metal",6240,8166972,0,0,57.220000000000006
Dune Rats,41,133992,surf rock,58600,19621239,0,0,61.809999999999995
Dying Wish,46,121273,"metalcore, deathcore, hardcore",8830,3186874,0,0,58.06
Electric Callboy,67,1160828,"metalcore, metal",1240000,603796801,1,0,91.94
End It,39,57373,"hardcore, hardcore punk",4230,64239,0,0,44.68
Enter Shikari,59,511833,"post-hardcore, metalcore",265000,200114099,0,1,81.17999999999999
ERRA,62,336955,"djent, metalcore, progressive metal, metal, deathcore, post-hardcore",592000,46936109,0,0,80.44
Escape the Fate,62,1503003,"emo, post-hardcore, screamo, metalcore",13800,141555362,0,0,80.45
Fit For A King,58,516516,"metalcore, christian rock, deathcore, metal, djent",3520,52682193,0,0,71.53
For I Am King,20,14651,"melodic death metal, deathcore, metalcore",2350,310476,0,0,32.65
Frank Carter & The Rattlesnakes,45,225080,"punk rock, alternative rock, indie rock, hardcore punk",111,5760113,0,1,53.25
GEL,32,81024,"hardcore punk, hardcore, egg punk",1990,942038,0,0,45.26
George Baker,42,20039,"nederpop, hollands",959,188197,0,0,42.66
Get The Shot,41,75487,"hardcore, hardcore punk, deathcore, metalcore",11400,5387633,0,0,55.42
Grade 2,38,27111,"punk, skate punk",80,614527,0,0,39.43
Guilt Trip,49,83515,"hardcore, groove metal, hardcore punk, metalcore",8890,2443506,0,0,58.13
Hang Youth,31,22013,nederpop,1150,494491,0,0,39.12
Harms Way,44,95563,"hardcore, hardcore punk, metalcore, mathcore",6510,2822769,0,0,55.66
Heriot,35,35413,mathcore,1790,333781,0,0,42.59
Ho99o9,40,145033,"experimental hip hop, trap metal, horrorcore, industrial rock, industrial, industrial metal",712,5366025,0,0,52.28
Holding Absence,55,194406,"metalcore, post-hardcore, melodic hardcore",18000,10660774,0,0,67.2
Hot Mulligan,63,368446,"midwest emo, pop punk, emo",57700,53762690,0,0,77.7
Ice Nine Kills,67,1273731,"metalcore, metal",521000,299002350,0,1,89.64999999999999
ICE-T,46,1471492,"west coast hip hop, old school hip hop, gangster rap",3210,53777,0,1,56.71000000000001
Imminence,58,434643,"metalcore, metal",277000,122786348,0,0,79.46
Incendiary,43,98618,"hardcore, hardcore punk",33000,8668462,0,0,59.699999999999996
Jaya The Cat,42,61085,"ska punk, ska, reggae rock",223,4002505,0,0,48.53
