name,score,followers,genre,youtube_subscribers,youtube_views,headliner,headliner_2,popularity_score
Another Now,16,8345,"metalcore, djent, deathcore",5,0,0,0,18.59
Anti-Flag,48,460157,"punk, skate punk, ska punk, hardcore punk",2230,14142606,0,0,66.17
August Burns Red,56,790951,"metalcore, metal, deathcore, djent, post-hardcore, screamo",3730,53980409,0,1,72.76
Bad Religion,61,1417794,"punk, skate punk, hardcore punk, melodic hardcore, ska punk",10800,110212810,0,1,78.42
Beachdog,4,1779," grunge, posthardcore, punk",10800,5053325,0,0,36.01
Beartooth,62,922226,"metalcore, post-hardcore",195000,158778822,0,1,82.17
Being As An Ocean,40,183096,"melodic hardcore, post-hardcore, metalcore, spoken word, hardcore",76800,22537373,0,0,66.14999999999999
Belvedere,30,34036,"skate punk, melodic hardcore, punk, hardcore punk, ska punk",4900,1893357,0,0,51.6
Blowfuse,11,5900,"skate punk, melodic hardcore, hardcore punk, punk, ska punk",2390,734228,0,0,37.730000000000004
Bob Vylan,46,186569,"punk, rap",62600,8928700,0,0,67.35
Boysetsfire,38,69117,"post-hardcore, melodic hardcore, skate punk, hardcore punk, screamo",1840,3426836,0,0,55.76
Bullet For My Valentine,69,3646271,"metalcore, metal",2090000,1383612102,0,1,93.91000000000001
Bury Tomorrow,52,350387,"metalcore, metal, deathcore, post-hardcore",106000,69277503,0,1,74.1
Cigar,29,21376,"skate punk, melodic hardcore, punk, ska punk, hardcore punk",1380,220891,0,0,46.089999999999996
Clowns,27,27428,"punk, skate punk, hardcore punk",3040,1520340,0,0,48.980000000000004
Comeback Kid,46,200277,"hardcore, melodic hardcore, hardcore punk, metalcore",1760,7177106,0,1,62.27
Counterparts,50,250232,"melodic hardcore, metalcore, hardcore, post-hardcore, hardcore punk, deathcore",13000,5367830,0,0,66.94
Crafter,3,2284,"melodic hardcore, hardcore, hardcore punk",682000,284649795,0,0,46.129999999999995
Crossfaith,39,199972,"metalcore, j-rock",1130,9442817,0,0,59.160000000000004
Crystal Lake,45,231881,"metalcore, deathcore, djent, metal",17900,11480844,0,0,65.99000000000001
Drain,27,19144,"nu metal, industrial rock",881,5627634,0,0,47.64
Faintest Idea,20,8781,"ska punk, ska",575,193896,0,0,38.940000000000005
For The Fallen Dreams,36,127279,"metalcore, melodic hardcore, post-hardcore, deathcore, hardcore",9630,4791620,0,0,59.17
Get The Shot,41,75538,"hardcore, hardcore punk, deathcore, metalcore",11400,5444737,0,0,60.199999999999996
Good Riddance,45,115207,"skate punk, punk, melodic hardcore, ska punk, hardcore punk",5680,1190142,0,0,60.33
Hang Youth,31,22018,nederpop,1150,495144,0,0,47.510000000000005
Higher Power,31,31898,"hardcore, hardcore punk",47,384260,0,0,43.71
Holding Absence,56,194658,"metalcore, post-hardcore, melodic hardcore",18000,10660774,0,0,69.82000000000001
Hot Milk,49,167387,pop punk,1570,16256121,0,0,63.660000000000004
Ignite,39,100439,"melodic hardcore, skate punk, hardcore punk, punk, hardcore",218,3930103,0,1,54.230000000000004
Incendiary,43,98676,"hardcore, hardcore punk",33000,8670270,0,0,63.629999999999995
Jaya The Cat,42,61111,"ska punk, ska, reggae rock",223,4007465,0,0,54.21
Jesus Piece,35,113355,"hardcore, hardcore punk, metalcore, mathcore, deathcore",4300,1470299,0,0,56.169999999999995
Killswitch Engage,66,2245317,"metalcore, metal",536000,441910932,0,1,88.44
Knocked Loose,61,677211,"hardcore, metalcore, deathcore, hardcore punk, mathcore",59900,25339258,0,1,77.5
La Armada,24,9466,"hardcore punk, metal",134,34651,0,0,36.93
Life Of Agony,40,107326,alternative metal,10700,8491225,0,1,61.050000000000004
Lionheart,45,122864,"hardcore, hardcore punk, metalcore",11700,6851037,0,0,63.27
Loathe,61,573458,shoegaze,43200,25606930,0,0,76.63
Madball,44,197087,"hardcore, hardcore punk",1230,8074933,0,1,61.06
Main Line 10,5,3148,"skate punk, melodic hardcore, hardcore punk, punk",181,17191,0,0,26.38
Malevolence,48,135962,"metalcore, groove metal, deathcore, hardcore",37800,13015181,0,0,67.01
Mark of Chaos,0,173,punk rock,0,0,0,0,0.0
Mayleaf,3,1495,"grunge, rock",119000,15229450,0,0,39.660000000000004
Nasty,36,68173,"hardcore, deathcore, hardcore punk, metalcore",3320,351219,0,0,53.480000000000004
Neck Deep,64,1824480,"pop punk, punk, emo",359000,266299352,0,1,86.06
No Fun At All,37,70332,"skate punk, melodic hardcore, punk, hardcore punk, ska punk",3460,2764489,0,0,56.08
No Turning Back,22,20597,"hardcore, hardcore punk",670,312805,0,0,42.57
Rise Against,71,3013691,"punk, hardcore punk",1030000,1289364735,1,0,93.15
Rotzak,6,932,mathcore,37,3338,0,0,19.86
SeeYouSpaceCowboy...,37,93540,"mathcore, screamo, metalcore, post-hardcore, hardcore",1490,1593786,0,0,55.059999999999995
Silverstein,61,871538,"post-hardcore, screamo, emo, metalcore, pop punk",196000,135964342,0,0,81.49
Ska-P,60,976604,"ska, ska punk, mexican ska",28900,289989483,0,1,79.44
Spanish Love Songs,42,77968,"midwest emo, indie punk, pop punk",5480,2292141,0,0,58.77
STAKE,26,23579,"sludge metal, post-rock, stoner metal",6370000,2195670314,0,0,66.28
Stick To Your Guns,48,248028,"melodic hardcore, metalcore, hardcore, hardcore punk, post-hardcore",11800,2149067,0,1,65.07
Suicidal Tendencies,55,870078,"thrash metal, hardcore punk, punk, skate punk, speed metal",263000,159810232,0,1,79.69000000000001
Terror,50,220192,"hardcore, hardcore punk, groove metal, metalcore",26900,70507,0,1,63.3
The Hell,23,12895,heavy metal,773,222384,0,0,41.64
The Hives,59,933829,garage rock,180000,164176035,1,0,80.94
The Offspring,78,7089753,"punk, skate punk",2440000,2626610094,1,0,100.0
Tim Vantol,30,19230,"folk punk, celtic rock",2280,934133,0,0,48.38
